,name,Show,principal component 1,principal component 2,principal component 3
141,Kate Austen,LOST,3.15847947710066,-2.875204489108521,-6.259738044747086
142,Charlie Pace,LOST,4.424405313507675,12.227541407514455,-2.5394558966940206
143,John Locke,LOST,0.8766699963948447,-6.1361465828796105,-3.5399628177659332
144,Juliet Burke,LOST,-4.101679041750046,-5.927261257683751,0.1957283409682291
145,Jay Gatsby,The Great Gatsby,2.3190952855985234,1.8387583309223399,-6.46742832697567
146,Nick Carraway,The Great Gatsby,-7.700074159957215,4.307606331708313,7.363887488819216
147,Daisy Buchanan,The Great Gatsby,4.515693963923545,7.931998221493546,3.3749948796195115
148,Tom Buchanan,The Great Gatsby,12.471490800324034,-7.005142876512878,7.748121327692916
149,Myrtle Wilson,The Great Gatsby,14.033366196678305,6.720866846893368,0.6978569748999668
150,Jordan Baker,The Great Gatsby,2.0224885033251847,-1.5911860855383153,-5.3645903240923705
151,Clarke Griffin,The 100,-2.80132251550641,-3.930148208714144,-3.5757842439314653
152,Bellamy Blake,The 100,-2.898293907384664,-3.1892319883684914,-5.533308193379983
153,Octavia Blake,The 100,4.932060603627544,-4.293808608432754,-8.061518665846183
154,Raven Reyes,The 100,-3.116024909148558,-3.6977729115531344,-7.015325717854039
155,Dr. Abigail Griffin,The 100,-3.359128017385198,-4.658620700007477,4.7818325768672265
156,John Murphy,The 100,13.256031431452756,-0.18430982323403478,-0.7675413385361848
157,Charlie Harper,Two and Half Men,14.344128882116905,3.9534832883692554,-5.604903848697816
158,Alan Harper,Two and Half Men,-2.5955709028285807,5.017342882272525,15.432990315900785
159,Jake Harper,Two and Half Men,7.85317220533569,12.286560919727894,3.293181995715895
160,Berta,Two and Half Men,5.975520642449201,0.8075654618022692,-2.927723987267555
161,Evelyn Harper,Two and Half Men,6.898921386511627,-5.910716877979469,-1.0936072537185726
162,Judith Harper-Melnick,Two and Half Men,3.4349747416326717,-5.773383741763959,6.238890047592741
163,Bella Swan,Twilight,2.883323137120416,4.970747318898826,9.14886359958267
164,Edward Cullen,Twilight,-1.7354385227305553,-5.636175550344764,2.1627322481336932
165,Jacob Black,Twilight,2.164086896758554,2.5042630907636996,-2.414201417848932
166,Charlie Swan,Twilight,-7.1571198338879505,1.2666116470686566,9.421094364812879
167,Carlisle Cullen,Twilight,-13.930818436069925,-3.7085212938747176,-1.9368532628839297
168,Esme Cullen,Twilight,-13.355912851613201,3.2123008266135717,0.14012294089532798
169,Alice Cullen,Twilight,-6.170848763838096,4.500112258591584,-10.601538120421008
170,Emmett Cullen ,Twilight,3.58277193536482,2.8868266165186216,-5.409389574831859
171,Rosalie Hale,Twilight,2.398445249139135,-8.359542695579751,0.7996829846510494
172,Jasper Hale,Twilight,-2.4605266072099012,-2.9813367128458355,3.187359343308646
173,Meredith Grey,Grey's Anatomy,-1.4718313946939376,-2.971273709940376,-3.995933407154738
174,Cristina Yang,Grey's Anatomy,-0.965486194614474,-12.301217001635317,-4.364816191755892
175,Izzie Stevens,Grey's Anatomy,2.5400191600020343,7.955269598521172,-0.9110923543479099
176,Alex Karev,Grey's Anatomy,5.83670525755297,-0.8653907215251324,-5.78567082477698
177,George O'Malley,Grey's Anatomy,-8.211019379729898,10.418246720484136,6.559232440545266
178,Miranda Bailey,Grey's Anatomy,-8.552299540136142,-8.855323545547675,-1.964212718565074
179,Richard Webber,Grey's Anatomy,-8.862380921560911,-4.320783786754039,2.235690636091962
180,Preston Burke,Grey's Anatomy,-2.544120937805357,-10.59651548993351,5.692572456736987
181,Derek Shepherd,Grey's Anatomy,-6.728944774083208,-0.3553746376806532,-6.396287941874411
182,Addison Montgomery,Grey's Anatomy,-1.3768156456430172,-4.535877300630103,-3.1724736010242522
183,Olivia Benson,Law & Order: SVU,-10.996965823732612,-5.274482055749352,-6.025878668949707
184,John Munch,Law & Order: SVU,-3.750467433713432,-4.684817194296691,0.7566232644787011
185,Donald Cragen,Law & Order: SVU,-8.429618022415504,-6.638921405164725,5.435113954464849
186,Elliot Stabler,Law & Order: SVU,-0.897683229349502,-6.724805173740462,-1.4570938290755162
187,Odafin Tutuola,Law & Order: SVU,-1.583536904837812,-2.667991033727347,-6.891627166933027
188,Melinda Warner,Law & Order: SVU,-11.845583707814594,-5.586430779190564,-2.210209867354419
189,Buffy Summers,Buffy the Vampire Slayer,0.0952710825145772,-1.7618393733085813,-10.774741006069908
190,Xander Harris,Buffy the Vampire Slayer,3.1498353676137203,12.433966047925793,3.7990718751853367
191,Willow Rosenberg,Buffy the Vampire Slayer,-8.85746692375358,5.745450268269086,-1.073677939122468
192,Cordelia Chase,Buffy the Vampire Slayer,5.605423729492896,-0.10120063248735896,-2.0530746957581485
193,Rupert Giles,Buffy the Vampire Slayer,-12.275261521401218,-5.294858529573363,2.3903952429876645
194,Angel,Buffy the Vampire Slayer,1.5506799529212287,-5.69968971967171,-2.0546774104985803
195,Eric Forman,That 70's Show,-0.6835702178961576,8.18532765907416,10.512514076900409
196,Jackie Burkhart,That 70's Show,6.077285185542936,2.628721261135081,-3.724768242451605
197,Michael Kelso,That 70's Show,9.87011372908267,16.000048769115153,-3.3546445555014595
198,Steven Hyde,That 70's Show,8.806536002457353,-0.46711971460226565,-6.996857891994801
199,Donna Pinciotti,That 70's Show,-4.5645925216904875,-0.19217506915260307,-6.769929229479961
200,Fez,That 70's Show,2.311055251506477,14.51049474200225,-2.6604368529727997
201,Kitty Forman,That 70's Show,-7.50889298912985,6.879472127519074,1.2628128901869409
202,Red Forman,That 70's Show,2.2668237410480345,-13.070827693686635,7.926048171150671
203,Midge Pinciotti,That 70's Show,4.781111512036855,14.346289790149301,-1.4751069643991623
204,Bob Pinciotti,That 70's Show,7.585888019945533,12.940213484742419,4.029439279747499
205,Luke Skywalker,Star Wars,-4.434152805021051,5.699715660743565,-2.08242276243388
206,Princess Leia,Star Wars,-7.5867976516814775,-4.449597959280419,-7.241328697071446
207,Han Solo,Star Wars,8.375557810701011,2.3869505404804547,-11.059897880344895
208,Darth Vader,Star Wars,6.560309381911707,-12.677155138386025,0.7807492484106947
209,Obi-Wan Kenobi,Star Wars,-10.893044838556223,-2.91098572907492,-1.6720489723558258
210,C-3PO,Star Wars,-8.876018000223553,0.38816840392351215,12.011542773646651
211,Ron Weasley,Harry Potter,0.9953165322080623,11.678219846119413,2.046552508230553
212,Harry Potter,Harry Potter,-2.9070426737714414,3.2546181968786105,-4.705764448926904
213,Hermione Granger,Harry Potter,-12.04144866381662,-5.957139219559034,-4.995594317900405
214,Rubeus Hagrid,Harry Potter,-4.711108264993399,11.971075371466116,-5.204187463502749
215,Albus Dumbledore,Harry Potter,-6.740582551763442,-0.8511599669066686,-7.440939004040419
216,Minerva McGonagall,Harry Potter,-11.997014892284167,-7.279180398571805,-4.023543567483757
217,Severus Snape,Harry Potter,1.2630031398381143,-10.818777089371041,4.450762118854577
218,Ginny Weasley,Harry Potter,-6.873118472002635,2.3881029311791457,-3.0764977307823824
219,Luna Lovegood,Harry Potter,-5.0943051538630835,10.482267554625915,-9.95313098801541
220,Draco Malfoy,Harry Potter,10.392686843806768,-3.5845360491084044,4.26623819827752
221,Molly Weasley,Harry Potter,-8.796780742070567,4.948761027182675,-6.028040482594172
222,Lord Voldemort,Harry Potter,13.469947866624077,-10.335044790927986,1.182136903309356
223,Cho Chang,Harry Potter,-7.141135220596399,1.9506803100121373,6.62658381562178
224,Fleur Delacour,Harry Potter,-8.437338259194421,-0.05578539972703509,-0.6628271721040159
225,Viktor Krum,Harry Potter,1.879752616585522,-5.070144013508094,0.1485713824614816
226,Filius Flitwick,Harry Potter,-5.637344467828292,-2.225322474545219,5.860332569751799
227,Horace Slughorn,Harry Potter,3.375656159989408,4.528559874850038,7.374592768900969
228,George Weasley,Harry Potter,2.327224475316981,10.134086514278458,-12.119716024482779
229,Alastor Moody,Harry Potter,5.871794520253578,-6.2174296629464445,-2.9957809804900006
230,Remus Lupin,Harry Potter,-6.072382350385346,0.03542722000199298,-2.892896765170956
231,Arthur Weasley,Harry Potter,-7.502740854119956,8.407585625828766,-1.249285219455377
232,Cornelius Fudge,Harry Potter,7.909581982063261,-1.6816479099618986,16.23342785002785
233,Dolores Umbridge,Harry Potter,11.766440859759843,-9.787064723748577,11.38566037776159
234,Petunia Dursley,Harry Potter,8.64334084864778,-3.0877322379832335,19.044434060999343
235,Moaning Myrtle,Harry Potter,10.72578592562721,5.239091059657287,7.288328928356469
236,Rita Skeeter,Harry Potter,13.494347843744697,-3.349868995237954,1.7550631398655845
237,Dobby,Harry Potter,-4.100095514387144,9.22156436153825,-0.5886619700453044
238,Bellatrix Lestrange,Harry Potter,16.295831931897858,-3.5075043154305114,-4.911931492652752
239,Nymphadora Tonks,Harry Potter,1.5932829794656764,5.096855263438173,-13.0890196827897
240,Sirius Black,Harry Potter,0.36668782529798927,1.1170818322910694,-10.383089078041932
241,Rachel Chu,Crazy Rich Asians,-10.281082514216532,3.4953013574777954,-4.688202259410898
242,Nick Young,Crazy Rich Asians,-10.836296856934359,3.1404676326773897,-4.7165204321566065
243,Eleanor Sung-Young,Crazy Rich Asians,-0.11615621446388505,-12.852420136886426,5.68082099189753
244,Goh Peik Lin,Crazy Rich Asians,3.1474750342269564,10.52189928900735,-14.612541248224867
245,Astrid Leong-Teo,Crazy Rich Asians,-9.76794249302932,-1.9114215248926119,-5.1397678458229645
246,Colin Khoo,Crazy Rich Asians,-1.1536155334749834,2.1633720694035343,1.0695145347463648
247,Katniss Everdeen,The Hunger Games,-0.7269676474195151,-5.553691215351998,-5.75937183039273
248,Peeta Mellark,The Hunger Games,-8.672795152246058,6.371468227005181,4.1290410047392045
249,Haymitch Abernathy,The Hunger Games,8.984384289730793,0.039014434506274065,-3.4936930037843443
250,Effie Trinket,The Hunger Games,0.2201450283772413,5.338825840727214,-1.7923296836187321
251,Coriolanus Snow,The Hunger Games,8.456937242706571,-13.132695370210808,6.463153326879079
252,Gale Hawthorne,The Hunger Games,-2.2039659977870056,-2.1640565252220596,-0.7442981360856613
253,Leslie Knope,Parks and Recreation,-9.242056676445724,4.091258854573385,-6.108551824274107
254,Ann Perkins,Parks and Recreation,-9.999428906470095,4.968556164231242,2.734085514125347
255,Mark Brendanawicz,Parks and Recreation,-1.3380847421040074,0.040504189665163295,10.599238241430982
256,Tom Haverford,Parks and Recreation,8.807633748722438,10.829798738697054,-5.266831620594589
257,Ron Swanson,Parks and Recreation,-1.9055217632308246,-11.457973232276924,0.7551587910606428
258,April Ludgate,Parks and Recreation,10.722403787621522,-1.1402970379718445,-5.689652949243341
259,Mr. Darcy,Pride and Prejudice,-5.504954420335055,-7.741850915193459,2.5895591276218584
260,Elizabeth Bennet,Pride and Prejudice,-4.2050126062788395,-1.6233544766398065,-8.820518168533171
261,Mr. William Collins,Pride and Prejudice,4.755391771148267,0.43974259055142717,18.52812318234166
262,George Wickham,Pride and Prejudice,16.191737857889425,3.3609753055999603,0.7789164005657319
263,Charles Bingley,Pride and Prejudice,-8.318992745373409,10.763285827736157,3.5659260698510526
264,Georgiana Darcy,Pride and Prejudice,-10.337503587979167,8.892707650054502,2.8155816891665286
265,Lydia Bennet,Pride and Prejudice,13.777433273651878,9.64338851218884,-0.002014804655447898
266,Jane Bennet,Pride and Prejudice,-14.92284618144262,7.020840650526359,5.618834236633148
267,Mrs. Bennet,Pride and Prejudice,7.59794471978072,3.7193350427924936,6.777491917563258
268,Lady Catherine de Bourgh,Pride and Prejudice,6.206538558033636,-11.382545265375603,7.143049370953964
269,Jadzia Dax,Star Trek: Deep Space Nine,-7.735544009358973,-0.0615426847240715,-11.386875876272379
270,Odo,Star Trek: Deep Space Nine,-6.8864665363638995,-9.83883185733507,4.434206248780331
271,Worf,Star Trek: Deep Space Nine,-4.327176146544815,-10.740782428979168,1.5131040917270786
272,Nog,Star Trek: Deep Space Nine,-0.5714452405141005,3.354565254939999,1.2971701374819316
273,Quark,Star Trek: Deep Space Nine,9.652351905536758,-2.250551260592896,-2.924738465094963
